,Link,Author,Title,Is_Audio
0,/korneliya-funke/chernilnoe-serdce/,Корнелия Функе,Чернильное сердце,False
1,/mark-levi/ona-on/,Марк Леви,Она & Он,False
2,/vilyam-devis/pshenichnye-kilogrammy-kak-uglevody-razrushaut-telo-i-mozg/,Вильям Дэвис,Пшеничные килограммы. Как углеводы разрушают тело и мозг,False
3,/sara-edison-allen/sadovye-chary/,Сара Эдисон Аллен,Садовые чары,False
4,/alisa-pozhidaeva/chernaya-vishnya/,Алиса Пожидаева,Черная Вишня,False
5,/salli-torn/moy-lubimyy-vrag/,Салли Торн,Мой любимый враг,False
6,/i-izerles/zacharovannye/,Инбали Изерлес,Зачарованные,False
7,/dzhoanna-faber/kak-govorit-chtoby-malenkie-deti-vas-slushali-rukovodstvo-po-vyzhivaniu-s-detmi-ot-2-do-7-let/,Джули Адэр Кинг,"Как говорить, чтобы маленькие дети вас слушали. Руководство по выживанию с детьми от 2 до 7 лет",False
8,/a-podell/pasport-cheloveka-mira-puteshestvie-skvoz-196-stran/,Альберт Поделл,Паспорт человека мира. Путешествие сквозь 196 стран,False
9,/yanush-korchak/kak-lubit-rebenka-19063203/,Януш Корчак,Как любить ребенка,True
10,/elinor-porter/pollianna-spektakl-178532/,Элинор Портер,Поллианна (спектакль),True
11,/k-uest/p-s-ty-mne-nravishsya/,Кейси Уэст,P.S. Ты мне нравишься,False
12,/olesya-lihunova/hochesh-ya-budu-tvoey-mamoy/,Олеся Лихунова,"Хочешь, я буду твоей мамой?",False
13,/enid-blayton/na-ostrove-sokrovisch/,Энид Блайтон,На острове сокровищ,False
14,/adam-ho/deti-i-dengi-kniga-dlya-roditeley-iz-strany-v-kotoroy-nauchilis-effektivno-upravlyat-finansami/,Адам Хо,"Дети и деньги. Книга для родителей из страны, в которой научились эффективно управлять финансами",False
15,/stiven-kovi/7-navykov-vysokoeffektivnyh-semey-chast-1-10942989/,Стивен Кови,7 навыков высокоэффективных семей. Часть 1,True
16,/yon-kolfer/artemis-faul/,Йон Колфер,Артемис Фаул,False
17,/oota-tosimasa/samyy-luchshiy-papa-kak-ostavatsya-v-serdce-rebenka-kogda-rabotaesh-s-utra-do-vechera/,Тосимаса Оота,"Самый лучший папа! Как оставаться в сердце ребенка, когда работаешь с утра до вечера",False
18,/mark-tven/priklucheniya-toma-soyera-priklucheniya-geklberri-finna-173342/,Марк Твен,Приключения Тома Сойера. Приключения Гекльберри Финна,True
19,/diana-uinn-dzhons/ogon-i-zaklyatie-ili-vosem-dney-s-lukom/,Диана Уинн Джонс,"Огонь и заклятие, или Восемь дней с Люком",False
20,/sesiliya-ahern/posmotri-na-menya/,Сесилия Ахерн,Посмотри на меня,False
21,/vera-polozkova/fotosintez/,Вера Полозкова,Фотосинтез,True
22,/doyl-melton-glennon/voin-lubvi-istoriya-lubvi-i-proscheniya/,Гленнон Дойл Мелтон,Воин любви. История любви и прощения,False
23,/yanush-korchak/korol-matiush-pervyy-spektakl-173403/,Януш Корчак,Король Матиуш Первый (спектакль),True
24,/esper-uul/hugge-datskiy-detskiy-mir-mudrye-sovety-roditelyam-ot-psihologa-iz-samoy-schastlivoy-strany/,Еспер Юуль,Хюгге. Датский детский мир: мудрые советы родителям от психолога из самой счастливой страны,False
25,/mayn-rid/vsadnik-bez-golovy-spektakl-173348/,Майн Рид,Всадник без головы (спектакль),True
26,/raznoe/200-kulinarnyh-navykov-kotorye-pomogut-vam-pravilno-i-vkusno-gotovit-13225425/,,"200 кулинарных навыков, которые помогут вам правильно и вкусно готовить",False
27,/ann-bakus/vse-sekrety-francuzskogo-vospitaniya-kniga-dlya-roditeley/,Анн Бакюс,Все секреты французского воспитания. Книга для родителей,False
28,/ann-bakus/kak-vospitat-samostoyatelnogo-rebenka-pravila-francuzskih-roditeley/,Анн Бакюс,Как воспитать самостоятельного ребенка. Правила французских родителей,False
29,/raznoe/zavtraki-dlya-udachnogo-dnya-2/,,Завтраки для удачного дня,False
30,/semen-pavluk/kak-obehat-ves-mir-na-odnu-zarplatu-puteshestvuem-deshevo-i-horosho/,Семен Павлюк,Как объехать весь мир на одну зарплату. Путешествуем дешево и хорошо,False
31,/sesiliya-ahern/tam-gde-ty/,Сесилия Ахерн,"Там, где ты",False
32,/devid-ebehard/deti-u-vlasti-kak-my-rastim-malenkih-tiranov-kotorye-upravlyaut-nami/,Дэвид Эбехард,"Дети у власти: как мы растим маленьких тиранов, которые управляют нами",False
33,/luis-kerroll/alice-in-wonderland-alisa-v-strane-chudes-5311661/,Льюис Кэрролл,Alice in Wonderland / Алиса в стране чудес,True
34,/elen-harris/razvitie-pamyati/,Элен Харрис,Развитие памяти,True
35,/dzheymi-makgvayr/etot-prekrasnyy-son/,Джейми Макгвайр,Этот прекрасный сон,False
36,/dzhill-santopolo/svet-kotoryy-my-poteryali/,Джилл Сантополо,"Свет, который мы потеряли",False
37,/katerina-sushko/ni-ryby-ni-myasa-o-vegetarianskoy-pische-i-pische-dlya-dushi-2/,Катерина Сушко,"Ни рыбы, ни мяса. О вегетарианской пище и пище для души",False
38,/aleks-sherer/ohotniki-za-oblakami/,Алекс Шерер,Охотники за облаками,False
39,/elizabet-gilbert/posledniy-romantik/,Элизабет Гилберт,Последний романтик,False
40,/e-molohovec/podarok-molodym-hozyaykam-ili-sredstvo-k-umensheniu-rashodov-v-domashnem-hozyaystve/,Елена Молоховец,"Подарок молодым хозяйкам, или Средство к уменьшению расходов в домашнем хозяйстве",False
41,/sbornik/bembi-i-drugie-skazki/,Сборник,Бемби (спектакль),True
42,/sasha-chernyy/sasha-chernyy-detyam-5816185/,Саша Чёрный,Саша Черный детям,True
43,/svami-brahmachari/legkaya-yoga-dlya-pohudeniya-asany-dostupnye-kazhdomu/,Свами Брахмачари,"Легкая йога для похудения. Асаны, доступные каждому",False
44,/daniil-harms/stihi-i-proza-daniila-harmsa/,Даниил Хармс,Иван Топорышкин. Стихи и проза Даниила Хармса,True
45,/milena-zavoychinskaya/dom-na-perekrestke/,Милена Завойчинская,Дом на перекрестке,False
46,/anton-chehov/chehov-detyam-vanka-5816157/,Антон Чехов,Чехов детям. «Ванька»,True
47,/anes-ledig/uhodi-s-nim/,Аньес Ледиг,Уходи с ним,False
48,/viktor-dragunskiy/deniskiny-rasskazy-28951668/,Виктор Драгунский,Денискины рассказы (сборник),False
49,/patrik-delarosh/francuzskoe-vospitanie-metod-madam-dolto/,Элизабет Брами,Французское воспитание. Метод мадам Дольто,False
50,/sergey-stepanov/iskusstvo-videt-ludey-naskvoz/,Сергей Степанов,Искусство видеть людей насквозь,True
51,/ivan-rasstegaev/gruzinskaya-kuhnya/,Иван Расстегаев,Грузинская кухня,False
52,/patrik-ness/golos-monstra/,Патрик Несс,Голос монстра,False
53,/raznoe/salaty-dlya-horoshego-nastroeniya-2/,,Салаты для хорошего настроения,False
54,/ann-bakus/gid-po-vospitaniu-detey-ot-1-do-3-let-prakticheskoe-rukovodstvo-ot-francuzskogo-psihologa/,Анн Бакюс,Гид по воспитанию детей от 1 до 3 лет. Практическое руководство от французского психолога,False
55,/charlz-dikkens/priklucheniya-olivera-tvista-sokraschennyy-pereskaz-5314596/,Чарльз Диккенс,Приключения Оливера Твиста (сокращенный пересказ),True
56,/mihail-reymarov/poznay-sebya-kak-dostigat-lubye-celi-21633720/,Михаил Реймаров,Познай себя. Как достигать любые цели,True
57,/leks-kuper/samouchitel-dlya-geniya-kak-raskryt-svoi-talanty/,Лекс Купер,Самоучитель для гения. Как раскрыть свои таланты,True
58,/a-dzh-betts/zak-i-miya/,А. Дж. Беттс,Зак и Мия,False
59,/sara-mini/pletem-kosichki-i-zavyazyvaem-sharfy/,Сара Мини,Плетем косички и завязываем шарфы,False
60,/anna-moris/50-pravil-vospitaniya-detey/,Анна Морис,50 правил воспитания детей,True
61,/diana-arkadevna-dokuchaeva/modnoe-vyazanie-kruchkom-i-na-spicah-vse-aktualnye-vidy-i-tehniki-enciklopediya-sovremennogo-vyazaniya-25740199/,Елена Имбирева,Модное вязание крючком и на спицах. Все актуальные виды и техники. Энциклопедия современного вязания,False
62,/raznoe/pravila-horoshey-kuhni-2/,,Правила хорошей кухни,False
63,/dzhonatan-tok/osnovy-uhoda-za-rebenkom-12998285/,Джонатан Ток,Основы ухода за ребенком,True
64,/lesli-tir/vyshivaem-krestikom-sladkaya-kollekciya-shemy-dlya-vyshivki-18978420/,Лесли Тир,Вышиваем крестиком. Сладкая коллекция. Схемы для вышивки,False
65,/arkadiy-eyzler/evropeyskoe-issledovanie-bady-vitaminy-gmo-bioprodukty-kak-sdelat-pravilnyy-shag-k-zdorovomu-dolgoletiu/,Аркадий Эйзлер,"Европейское исследование: БАДы, витамины, ГМО, биопродукты. Как сделать правильный шаг к здоровому долголетию",False
